brand,model,url,category,source,sourceType,sourceId
LINSAY,F10KPWP,https://www.kmart.com/linsay-10inch-kids-pink-funny-tab-with-1.5/p-00358014000P?plpSellerId=Kmart&prdNo=13&blockNo=13&blockType=G13,Android Tablets,Kmart,retailer,5
Alcatel,5098S-2BALUS1,https://www.kmart.com/alcatel-amib01hfd0x7y-alcatel-pixi-4-6-inch-lte/p-SPM9123241102?plpSellerId=zabiva&prdNo=14&blockNo=14&blockType=G14,Android Tablets,Kmart,retailer,5
LINSAY,F10XIPSBKCOREDW,https://www.kmart.com/linsay-10.1inch-quad-core-1280x800-ips-screen-tablet/p-00359820000P?plpSellerId=Kmart&prdNo=16&blockNo=16&blockType=G16,Android Tablets,Kmart,retailer,5
LINSAY,F10XIPSBKCOBROWN,https://www.kmart.com/linsay-10.1inch-quad-core-1280x800-ips-screen-tablet/p-00305982000P?plpSellerId=Kmart&prdNo=17&blockNo=17&blockType=G17,Android Tablets,Kmart,retailer,5
iView®,97085193M,https://www.kmart.com/iview-reg-7inch-blue-4.2-android-tablet-bundle/p-00345933000P?plpSellerId=Kmart&prdNo=18&blockNo=18&blockType=G18,Android Tablets,Kmart,retailer,5
iView®,97085192M,https://www.kmart.com/iview-reg-7inch-grey-4.2-android-tablet-bundle/p-00345932000P?plpSellerId=Kmart&prdNo=19&blockNo=19&blockType=G19,Android Tablets,Kmart,retailer,5
LINSAY,F10XIPSCRWS,https://www.kmart.com/linsay-10.1inch-quad-core-1280x800-ips-screen-tablet/p-00360980000P?plpSellerId=Kmart&prdNo=20&blockNo=20&blockType=G20,Android Tablets,Kmart,retailer,5
LINSAY,F10XIPSBCBLUE,https://www.kmart.com/linsay-10.1inch-quad-core-1280x800-ips-screen-tablet/p-00359830000P?plpSellerId=Kmart&prdNo=21&blockNo=21&blockType=G21,Android Tablets,Kmart,retailer,5
LINSAY,F10XIPSCPWS,https://www.kmart.com/linsay-10.1inch-quad-core-1280x800-ips-screen-tablet/p-00306098000P?plpSellerId=Kmart&prdNo=22&blockNo=22&blockType=G22,Android Tablets,Kmart,retailer,5
LINSAY,F10XIPSB,https://www.kmart.com/linsay-10.1inch-quad-core-1280x800-ips-screen-tablet/p-00305983000P?plpSellerId=Kmart&prdNo=24&blockNo=24&blockType=G24,Android Tablets,Kmart,retailer,5
LINSAY,F10XIPSBCWHITE,https://www.kmart.com/linsay-10.1inch-quad-core-1280x800-ips-screen-tablet/p-00359815000P?plpSellerId=Kmart&prdNo=23&blockNo=23&blockType=G23,Android Tablets,Kmart,retailer,5
